Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Pont-a-celles,House,199900€,5,190,180,0,0,,,,1,80,3,0,To be done up,1899,D
Woluwe-saint-lambert,House,1125000€,4,285,220,0,,,1,14,1,90,2,,As new,,D
Opwijk,House,335000€,4,179,411,0,0,,,,,,4,0,Good,1962,E
Malle,House,685000€,5,277,1436,,0,,1,,,,4,0,As new,1992,B
Bievre,House,239000€,3,,353,,,,1,1,1,1,3,,,2024,A
Hoboken,House,299900€,4,170,132,0,,,,,1,41,3,,Good,,D
Sint-pieters-leeuw,House,349000€,4,177,192,0,0,,1,,,,3,0,To be done up,1935,E
Ittre-virginal,House,440000€,3,130,409,,0,,,,,,3,0,Good,2025,A
Maldegem,House,269000€,3,174,457,,,,1,,,,,,To restore,,F
Uccle,House,2595000€,6,550,3200,0,0,1,,,,,4,0,Good,,Not specified
Wetteren,House,465000€,3,167,465,1,0,,1,24,1,200,3,0,Good,2002,B
Tremelo,House,259000€,2,106,684,,,,,,,,4,,,1990,F
Eernegem,House,164900€,2,123,540,,,,,,,,2,,To renovate,1930,F
Borgloon,House,352366€,3,155,390,1,,,,,,,,,Good,,Not specified
Kassei-vilvoorde,House,550000€,3,130,536,0,0,,,,,,4,0,,1999,B
Pont-a-celles,House,99900€,3,85,145,1,,1,1,8,1,50,3,,To renovate,,G
Damme,Mixed-use-building,1499000€,10,899,30471,0,0,,1,50,,,4,0,As new,,C
Tubize,House,350000€,3,225,303,,0,,,,,,4,0,,1959,F
Huy,Apartment-block,449000€,5,321,142,0,,,,,,,2,,Good,1850,B
Jumet,House,149500€,2,,,0,,,1,1,1,1,3,,To renovate,,Not specified
Aartselaar,Villa,865000€,5,292,1687,,,,1,,,,4,,,1993,C
Marchienne-au-pont,House,119000€,4,155,85,1,0,,,,,,2,0,Good,,F
Charleroi,Apartment-block,750000€,10,480,,0,,,,,,,,,,,B
Merchtem,Villa,848000€,5,315,1577,,,,,,1,1400,4,,Good,1991,A
Saint-gilles,Mixed-use-building,950000€,,300,100,1,,,1,,,,2,,As new,1910,E
Laeken,House,749000€,5,240,336,1,,,1,50,1,50,3,,As new,1996,D
Antwerpen,House,1295000€,6,686,177,,,,1,100,1,54,2,,As new,,Not specified
Bruxelles,Apartment-block,1750000€,10,500,120,,0,,,,,,2,0,,1918,D
Zulte,House,279500€,3,130,335,,,,1,,,,2,,Good,1956,C
Liedekerke,House,1199000€,3,390,2315,0,,,1,,,,4,,As new,2013,B
Woluwe-saint-pierre,House,1650000€,7,485,,,0,,,,,,2,0,To renovate,1898,G
Chiny,House,290000€,4,307,939,,0,,,,,,2,0,,1918,C
Charleroi-marcinelle,Villa,775000€,4,,956,0,0,,1,30,,,4,0,As new,1995,C
Dilbeek,House,445000€,4,,530,1,0,,1,25,1,400,3,0,To be done up,1985,C
Niel,House,229000€,3,123,68,0,,,,,,,2,,,,C
Antwerpen,Mansion,1250000€,8,360,173,1,0,,,,1,36,2,0,Good,1900,C
Knokke-heist,Villa,3995000€,5,309,836,0,1,,1,,1,836,3,1,Good,1995,B
Puurs,House,309000€,3,118,552,1,,,1,20,,,3,,To be done up,1966,F
Uccle,House,875000€,4,262,840,,0,,1,,1,674,2,0,,1961,F
Hasselt,House,395000€,3,143,280,1,,,1,,,,2,,Just renovated,1965,C
Messancy,House,595000€,4,316,1665,1,0,,1,38,1,1530,4,0,As new,1992,B
Leuven,House,395000€,2,99,58,,,,1,24,,,2,,,1874,C
Lens,House,260000€,3,175,276,1,,1,1,,,,2,,Good,1994,C
Hoegaarden,Mixed-use-building,299000€,7,313,189,,,,1,32,1,45,2,,To renovate,,F
Morlanwelz,House,149000€,1,180,100,1,0,,,,,,2,0,Good,1900,B
Lochristi,House,449000€,3,165,482,1,,,,,,,,,Good,2016,A
Manage-faytlez-manage,House,199000€,2,116,209,1,,,1,21,1,68,2,,Good,,C
Angre,House,100000€,2,138,156,,,,,,,,2,,To renovate,,G
Houthalen,House,800000€,8,685,2700,1,,,1,,,,4,,Good,1965,D
Vilvoorde,House,695000€,4,257,460,0,,,,,,,,,As new,2016,A
Villers-le-bouillet,House,260000€,3,170,435,0,0,,1,,1,170,4,0,Good,1910,D
Sint-truiden,House,324000€,3,269,460,0,,,,,,,3,,Good,1980,F
Kraainem,House,840000€,3,200,1000,0,0,,1,12,1,850,4,0,To be done up,1962,D
Aartselaar,Villa,934500€,3,270,1014,1,,1,1,,,,4,,Good,1978,C
Somme-leuze,House,149000€,2,56,790,,,,1,26,1,686,4,,Good,,D
Maldegem,House,975000€,4,301,12156,,,,,,,,4,,,,F
Genval,Villa,450000€,3,190,800,,0,,1,10,1,800,4,0,Good,1950,D
Gistel,House,299000€,5,270,923,,,,,,,,2,,Good,1958,D
Wechelderzande,House,485000€,3,170,256,,,,,,,,2,,Good,2023,A+
Zwalm,Farmhouse,335000€,4,204,1707,,,,1,,,,4,,To renovate,1875,F
Meise,House,610000€,4,238,1000,,,,,,,,3,,Good,2000,B
Couillet,House,185000€,3,195,347,1,0,,,,,,2,0,,,C
Bois-borsu,House,274000€,2,125,2015,1,,,1,,1,1799,4,,Good,1986,E
Hastiere,House,124000€,1,55,56,,1,1,1,35,,,2,1,Good,,G
Sint-agatha-berchem,House,329000€,2,190,348,0,,,,,,,3,,,1920,Not specified
Halle,House,525000€,5,307,742,,,,1,,,,2,,As new,2008,A
Tournai,House,440000€,4,231,3400,1,,1,1,30,1,20000,4,,Just renovated,1980,C
Saint-gilles,Mansion,6700000€,10,1687,880,,0,,1,,1,880,2,0,Good,1920,E
Braine-lalleud,House,319000€,4,150,445,,0,,1,25,1,300,3,0,Good,1920,D
Blaasveld,House,375000€,3,135,323,,,,1,25,,,3,,,2023,Not specified
Oudenaarde,House,260000€,3,130,1120,,,,,,,,4,,To renovate,1976,F
Herent,House,645000€,3,226,1322,1,,,1,,,,4,,Good,1978,C
Moorslede,House,2250000€,6,600,50000,,,1,1,,,,4,,Good,1928,C
Tienen,House,298500€,2,162,,1,0,,1,6,,,2,0,Just renovated,,D
Marchienne-au-pont,House,119999€,3,179,70,1,0,,1,4,,,2,0,Good,1904,E
Ladeuze,House,465000€,3,301,1136,,,,1,,,,4,,,,B
Charleroi,Apartment-block,139999€,3,189,70,0,0,,,,,,2,0,To renovate,1940,G
Liege,House,267000€,3,96,176,1,,,1,11,1,110,2,,Good,,C
Laeken,Town-house,650000€,6,390,365,1,0,,1,15,1,210,2,0,,1937,D
Flemalle-haute,Town-house,240000€,5,127,9805,0,,,1,57,1,9400,3,,To be done up,1960,D
Wetteren,House,295000€,3,133,150,1,,,1,10,1,30,2,,,2006,B
Forest,Apartment-block,315000€,7,,230,,,,,,,,,,,,Not specified
Etterbeek,Town-house,629000€,3,,,1,,,1,1,,,2,,Good,,G
Chaumont-gistoux,House,875000€,3,250,1878,0,,,1,15,,,3,,Good,2004,B
Tenneville,House,375000€,4,350,2584,,0,,1,,,,4,0,,1918,C
Stekene,House,535000€,5,500,500,0,,,,,1,408,3,,,,A+
Oosterzele,House,179000€,4,164,1010,0,,,1,,,,2,,,,D
Watermael-boitsfort,House,950000€,6,284,630,,0,,1,30,,,3,0,To be done up,,F
Ixelles,House,4950000€,5,700,657,0,0,,1,50,1,267,2,0,As new,1905,D
Virton,House,135000€,3,120,480,0,0,,1,10,,,2,0,To renovate,1850,G
Oudenaarde,Mansion,1100000€,6,421,2857,,,,1,,,,4,,As new,1887,E
Pont-a-celles,House,469000€,4,177,1889,1,0,,1,30,1,1400,4,0,Good,1988,D
Anderlecht,House,385000€,3,107,160,1,0,,1,10,1,50,2,0,,1930,E
La-roche-en-ardenne,House,169000€,2,127,430,,0,,,,1,352,2,0,Good,2024,Not specified
Buggenhout,House,270000€,2,108,94,1,,,,,,,2,,Good,1931,E
Paal,House,412638€,3,198,328,1,,,,,,,3,,,2023,Not specified
Uccle,House,3650000€,4,560,2150,,0,1,1,110,,,4,0,As new,2011,B
Uccle,House,786000€,5,284,210,0,0,,1,51,1,85,2,0,Good,2024,A
Seraing,House,175000€,3,105,226,1,0,,1,11,1,113,2,0,Good,1930,D
Sprimont,Country-cottage,149000€,2,100,265,0,,,1,20,1,100,3,,To renovate,1850,Not specified
Boechout,Villa,870000€,3,280,873,0,,,1,34,1,570,4,,As new,2008,Not specified
Westerlo,House,403000€,3,141,,0,0,,1,,,,3,0,Good,2023,A
Kapelle-op-den-bos,House,575875€,3,,831,1,,,,,,,,,Good,,Not specified
Buvrinnes,House,395000€,4,443,2196,1,,1,1,,,,4,,Good,,D
Stekene,House,1600000€,4,713,1784,,0,,1,,,,2,0,,1981,D
Lier,Mansion,799000€,6,650,729,,,,,,,,4,,Good,1875,C
Luingne,House,275000€,3,177,186,1,,,1,,,,2,,Just renovated,,B
Liege,Mixed-use-building,268000€,2,208,152,,0,,,,,,2,0,,,E
Antwerpen,House,945000€,4,313,173,0,,,1,8,1,75,2,,Good,,B
Antwerpen,House,745000€,4,,,,,,,,1,30,2,,Just renovated,,A
Lasne,Villa,1290000€,6,365,4152,0,,,1,80,1,6300,4,,As new,1973,E
Buvrinnes,House,430000€,4,276,2771,0,,1,1,45,1,2580,4,,Good,,G
Keerbergen,House,515000€,3,350,1328,1,,,,,,,4,,Good,,E
Roeselare,House,289000€,3,120,151,,,,,,,,2,,Good,1920,A
Braine-lalleud,Villa,545000€,5,314,788,0,,,1,,,,4,,Good,1965,E
Antwerpen,House,1500000€,4,373,,0,0,,1,,1,80,2,0,Good,,C
Temse,House,415000€,3,138,275,0,,,1,15,1,168,3,,As new,2010,A
Wellin,House,275000€,6,230,910,0,1,,1,20,1,910,3,1,To be done up,1919,E
Bouillon,House,780000€,4,301,3636,0,0,,1,102,1,3435,4,0,Good,,B
Oudenaarde,House,280000€,5,271,155,,,,1,,,,2,,To be done up,1910,D
Lummen,House,415000€,3,169,780,,,,,,,,4,,,,Not specified
Ohey,House,495000€,6,194,2284,1,,,,,1,2284,4,,Just renovated,,B
Antwerpen-wilrijk,House,494000€,3,257,203,,,,1,,,,2,,,,E
Grivegnee,House,209000€,3,120,,1,,,1,9,1,60,2,,As new,1920,C
Overpelt,House,375000€,3,253,210,1,,,1,,,,3,,Good,1981,C
Overijse,House,425000€,4,152,700,1,0,,1,,1,500,3,0,To renovate,1962,F
Flemalle,Apartment-block,185000€,3,100,110,1,0,,1,4,1,60,2,0,To be done up,,D
Vresse-sur-semois,House,139000€,3,104,236,0,0,,1,15,,,3,0,To be done up,1899,E
Verviers,House,264000€,4,169,210,0,0,,,,1,127,2,0,To be done up,,D
Uccle,House,2200000€,5,450,1950,,,1,1,1,1,1,4,,Good,1952,G
Mortroux,Villa,1950000€,7,1050,6015,,,,,,,,4,,As new,2007,D
Roeselare,House,499000€,5,410,480,1,,1,1,,,,2,,Good,1966,F
Herent,Villa,639000€,4,240,1460,1,,,1,,,,4,,Good,1969,E
Brasschaat,Villa,775000€,4,333,1719,0,0,1,1,,,,4,0,To renovate,1953,F
Uccle,House,1959000€,5,422,2870,0,,,1,20,1,2713,4,,To be done up,1900,G
Woluwe-saint-lambert,Mixed-use-building,650000€,2,160,54,0,0,,,,,,2,0,Good,,F
Knokke-zoute,House,1495000€,4,214,757,0,,,,,,,3,,Good,1986,C
Mechelen,House,520000€,4,168,108,1,0,,1,15,1,56,2,0,Good,,B
Uccle,House,800000€,8,,677,,,,,,1,60,,,,,F
Turnhout-turnhout,House,425000€,4,179,490,,0,,1,,,,3,0,,1998,C
Ravels,Farmhouse,950000€,3,150,13000,1,0,,1,,,,4,0,Good,1990,C
Humbeek,House,445000€,3,140,383,0,,,,,,,2,,Good,1955,D
Auvelais,House,169000€,2,105,223,0,,,1,63,,,3,,To be done up,,G
Beaufays,House,340000€,2,187,914,1,,,,,1,292,4,,Good,1999,D
Lint,House,850000€,6,290,393,1,,,,,,,2,,Good,2009,B
Londerzeel,House,265000€,3,132,336,1,0,,1,,1,140,3,0,To renovate,1952,F
Kapelle-op-den-bos,House,650000€,4,250,2548,0,,,1,,,,4,,To be done up,1912,E
Overijse,House,335000€,3,116,174,0,0,,1,7,1,86,3,0,To be done up,1976,E
Andenne,House,299000€,6,203,615,,,,1,1,1,465,4,,Good,,G
Wavre,Villa,575000€,4,210,1485,1,,,1,14,,,4,,To be done up,1977,C
Tremelo,House,417000€,2,156,394,0,0,,1,,1,394,4,0,As new,1966,D
Courcelles,Farmhouse,375000€,5,591,,,,,,,,,4,,To renovate,,G
Boom,House,289000€,4,169,150,,,,,,,,2,,,1936,C
Oudenaarde,House,169000€,2,125,272,,,,1,,,,3,,To renovate,1960,F
Brussel,Apartment-block,725000€,6,251,,0,0,,1,20,,,2,0,Good,,E
Anderlecht,House,399000€,5,,,0,,,1,,,,2,,Just renovated,1926,E
Riemst,House,249000€,3,136,236,,,,1,22,,,,,,1950,E
Ernage,House,425000€,4,144,294,0,,,1,24,,,3,,Good,2011,B
Erpe-mere,House,299000€,3,415,367,1,0,,1,,,,3,0,Good,1930,E
Aartselaar,House,699000€,4,242,309,0,,,1,,,,3,,As new,,B
Dentergem,House,294000€,3,180,526,0,0,,,,1,190,4,0,Good,1918,F
Mont-sainte-aldegonde,House,185000€,2,130,530,1,0,,,,1,450,3,0,,,D
Antwerpen,House,649000€,3,200,1891,1,,,,,,,3,,As new,1905,B
Brugge-assebroek,House,376500€,3,136,168,0,0,,1,7,1,32,2,0,,2022,A
Rhode-saint-genese,House,1450000€,4,440,1596,0,,1,1,100,1,1200,4,,Good,1977,D
Sint-andries,House,598000€,3,161,599,0,,,1,,1,599,4,,Good,2001,C
Heist-op-den-berg,House,298000€,2,134,157,,,,1,9,,,3,,,1966,D
Opont,House,299900€,2,60,1846,1,,,1,24,,,4,,Good,1985,E
Liedekerke,House,479000€,3,151,562,,0,,1,,,,4,0,Good,1981,B
Orp-jauche,House,449900€,3,234,3250,0,0,,,,1,279,4,0,Good,2023,B
Sint-katelijne-waver,House,588000€,4,159,284,1,,,1,,,,3,,Good,2020,A
Gent,Mixed-use-building,299000€,4,133,108,1,,,,,,,,,,,C
Gilly,House,110000€,2,77,230,0,,,1,20,1,90,2,,To renovate,,G
Turnhout,Villa,1590000€,3,419,20671,,,1,,,,,4,,As new,1958,B
Willebroek,House,191000€,3,,143,0,,,,,,,2,,To renovate,1930,D
Juprelle,House,129000€,1,62,40,1,0,,,,,,2,0,Good,1918,D
Roeselare,House,145000€,4,154,136,,,,,,,,4,,Good,1935,F
Nivelles-bornival,House,575000€,3,200,390,0,0,,1,30,1,150,2,0,As new,2014,B
Sint-pieters-leeuw,House,465000€,4,212,603,1,0,,1,,,,4,0,To be done up,1987,E
Antwerpen-2020,House,397000€,2,208,110,0,,,1,50,,,,,Good,2009,C
Gozee,Villa,55000€ + 980€ per month,3,239,806,1,,1,1,50,1,750,4,,,1978,C
Zottegem,House,319000€,3,161,219,,,,1,,,,2,,To be done up,1988,C
Wavre,House,495000€,4,200,189,1,0,,1,15,1,150,3,0,Good,2006,C
Forest,House,5750000€,9,1200,1450,0,0,,1,,1,1140,2,0,As new,1938,C
Arlon,House,430000€,4,181,1304,1,,,1,,,,4,,To be done up,1963,G
Rijkevorsel,House,429000€,3,158,,,,,,,1,130,3,,Good,2024,A+
Lille,House,486856€,3,155,,,,,1,12,1,1,3,,As new,2023,A++
Oudenaarde,House,535000€,3,150,513,,,,1,,,,,,Good,,A
Liege,House,599000€,6,450,290,1,,,1,35,,,2,,Good,1900,C
Bruxelles,Villa,999500€,5,350,734,1,0,,1,40,1,300,4,0,Good,1974,E
Waterloo,Villa,2700000€,,540,820,,,,,,1,250,4,,As new,2013,B
Brasschaat,House,3950000€,5,810,43630,0,0,,1,,,,4,0,Good,1900,C
Diepenbeek,Farmhouse,695000€,4,,9941,,,,,,,,,,,1970,D
Antwerpen,Mansion,545000€,5,213,,,,,1,6,,,2,,To renovate,1901,F
Heule,House,159000€,4,113,100,,,,,,,,2,,As new,,F
Paal,House,346866€,3,143,434,1,,,,,,,,,,,Not specified
Amay,House,599000€,7,296,3108,1,,1,1,,,,4,,Good,2006,B
Libramont-chevigny,House,339000€,8,120,770,1,1,,1,40,1,630,3,1,Good,1945,C
Aarschot,House,385169€,3,174,280,,,,1,,1,139,3,,,2024,Not specified
Ferrieres,House,295000€,4,143,1109,1,,,,,,,,,,,E
Woluwe-saint-pierre,House,1050000€,4,343,262,0,0,,1,15,1,110,2,0,As new,2002,C
Etterbeek,Town-house,1080000€,4,,,0,,1,1,1,1,1,2,,Good,,Not specified
Lubbeek,House,489000€,3,185,242,0,,,1,24,1,156,3,,As new,2024,A
Deinze,House,370000€,2,120,446,0,,,,,,,2,,As new,2019,C
Kapellen,House,245000€,3,160,900,,0,,1,,1,750,3,0,To renovate,1932,F
Monceau-en-ardenne,House,215000€,5,186,630,1,,,1,,,,4,,,,D
Ravels,House,1531849€,3,,443,,,,1,,,,2,,Good,,A
Izegem,House,225000€,3,202,61,1,,,,,,,,,Good,1962,C
Gent,Town-house,315000€,2,87,43,,,,1,,,,2,,As new,1950,C
Haine-saint-paul,House,219000€,3,186,393,1,0,,1,,,,2,0,Good,1900,C
Wasmuel,House,135000€,3,202,650,,,,1,,,,2,,To renovate,,E
Liege,Apartment-block,319000€,6,132,50,,0,,,,,,2,0,,1970,D
Schilde,Villa,745000€,4,305,2408,,,,,,1,2408,4,,Good,1966,D
Vorst,House,209000€,2,125,1574,0,,,,,,,3,,To be done up,1949,F
Uccle,Villa,5500000€,6,1173,5700,0,0,1,1,,,,,0,To be done up,1975,E
Kortemark,House,241000€,2,166,545,0,,,1,,,,4,,Good,1998,F
Nieuwpoort,House,299000€,3,256,795,1,,,,,,,,,To renovate,1971,F
Ingelmunster,House,437735€,3,180,297,1,,,1,,,,3,,,,Not specified
Schilde,House,735000€,3,200,610,0,,,1,30,1,400,4,,As new,,D
Lubbeek-pellenberg,Villa,730000€,3,190,558,1,0,,1,87,1,170,4,0,As new,2016,A
Mortsel,Exceptional-property,565000€,4,195,904,0,,,1,,,,,,,1935,F
Hoboken,House,399000€,4,170,121,1,,,,,1,30,2,,Good,1930,C
Sint-niklaas,House,239500€,6,126,70,,,,,,,,2,,Good,,F
Antwerpen,House,420000€,3,205,63,0,0,,,,1,7,2,0,Good,,C
Gent,House,975000€,3,250,104,,,,1,,,,4,,As new,,A
Deinze,House,588500€,3,140,419,0,0,,1,,,,3,0,Good,2024,Not specified
Beerse,Villa,849000€,4,313,2302,,,,,,1,1630,4,,As new,1973,C
Ninove,House,360000€,4,234,777,0,0,,1,,,,4,0,To be done up,1971,F
Uccle,Apartment-block,649000€,4,305,251,,,,1,9,1,121,2,,To renovate,,F
Ninove,House,195000€,2,93,139,0,0,,1,25,1,80,3,0,Good,1951,C
Uccle,House,628000€,4,150,322,1,,,,,1,120,,,,2008,D
Londerzeel,House,525000€,3,175,580,0,,,1,20,,,4,,Good,1990,C
Deurne,Town-house,485000€,3,200,205,0,,,1,10,1,86,2,,Just renovated,1962,B
Herentals,House,170000€,2,150,99,,,,,,,,2,,,1933,Not specified
Asse,Farmhouse,1200000€,4,280,10000,1,,1,1,100,1,10000,4,,Good,1930,E
Seraing,Mixed-use-building,215000€,4,218,103,0,0,,1,38,,,2,0,Good,,F
Deurne-2100,House,420000€,3,179,149,0,,,,,1,50,,,,1973,B
Aiseau-presles,Apartment-block,269900€,2,200,200,,,,1,12,1,50,3,,Good,,G
Bruxelles,House,689000€,5,234,1200,1,0,,,,1,31,2,0,As new,1900,E
Ronse,Mixed-use-building,199000€,6,348,1093,,,,1,,,,2,,To renovate,1875,F
Wetteren,House,235000€,2,112,60,0,,,,,,,3,,Good,1941,D
Anseremme,Bungalow,299000€,2,126,1275,0,0,,1,,1,1109,4,0,To be done up,1961,D
Seraing,House,95000€,1,76,151,0,0,,1,100,,,3,0,To be done up,,G
Deurne,Apartment-block,725000€,4,230,765,1,,,1,73,,,2,,Good,1869,C
Boom,House,249000€,4,220,95,1,,,,,,,2,,Good,,C
Sint-katelijne-waver,House,545000€,3,,846,,,,,,,,,,Good,1979,F
Blegny,House,205000€,3,120,402,,0,,1,20,1,257,3,0,Good,1947,Not specified
Heron,House,435000€,4,305,9669,0,,,,,,,3,,To renovate,1874,F
Mont-sur-marchienne,House,320000€,4,178,429,,,,1,32,1,299,4,,Good,1950,D
Ganshoren,House,1350000€,6,1627,1000,,0,,,,,,4,0,As new,1922,Not specified
Mortsel,Apartment-block,650000€,5,290,280,0,,,,,,,2,,Good,,Not specified
Knokke-heist,House,349500€,3,120,65,,,,,,,,,,To be done up,,D
Gavere,House,365000€,,210,950,0,,,,,,,,,Good,2023,B
Marchienne-au-pont,House,289999€,4,163,92,0,0,,1,8,1,50,2,0,As new,1900,B
Ichtegem,House,189000€,4,,687,,,,,,1,560,2,,Good,1932,B
Adinkerke,House,234500€,3,140,194,,,,,,,,2,,As new,1930,E
Peruwelz,House,195000€,3,146,185,,,,1,,,,2,,To be done up,,C
Saint-ghislain,House,690000€,5,614,2694,,,,1,48,1,2370,4,,As new,1920,F
Hoboken,House,378000€,3,180,169,,,,,,1,90,2,,As new,1915,B
Genappe,House,150000€,3,100,300,,0,,,,,,3,0,,1918,G
Lembeek-halle,House,310000€,3,110,200,0,0,,1,,,,2,0,To be done up,1930,C
Vottem,House,255000€,4,183,230,,,,1,22,1,82,2,,,,E
Walhain,House,395000€,3,160,619,0,0,,1,,,,4,0,Good,1976,E
Tournai,House,435000€,9,416,200,0,,,,,,,2,,Good,,D
Brasschaat,Villa,2100000€,6,562,2325,1,,1,,,1,2325,,,As new,2008,B
Zemst,Bungalow,549000€,2,130,1872,,,,1,,,,4,,Good,1966,F
Woluwe-saint-pierre,House,865000€,6,220,495,0,0,,1,10,1,350,3,0,To renovate,,G
Ouffet,House,205000€,4,175,428,0,,,1,,,,2,,To be done up,,F
Flemalle,House,309900€,5,156,530,0,0,,1,38,1,287,3,0,As new,,E
Huldenberg,House,749000€,4,200,1334,0,0,,1,,1,971,3,0,,,A
Flemalle,House,230000€,3,105,226,0,,1,1,36,1,95,2,,To be done up,1965,D
Destelbergen,House,225000€,2,110,190,,,,,,,,,,Good,,F
Lokeren,House,499000€,3,240,251,,,,1,,,,3,,As new,2014,A
Hodeige,House,185000€,4,211,1498,0,,,,,1,988,4,,To renovate,,F
Huy,House,449500€,6,320,338,0,,,1,,,,2,,Good,,C
Outrijve,House,199000€,3,120,118,,,,,,1,32,2,,As new,1930,B
Schaarbeek,Other-property,170000€,10,,102,,,,,,,,,,To restore,1850,Not specified
Edegem,House,265000€,4,187,86,,,,1,15,,,3,,To renovate,,F
Marchin,House,355000€,3,195,8500,1,,,,,,,4,,,1900,G
Overmere,Villa,949000€,3,265,1039,0,,,1,18,,,4,,,2023,A+
Zandvliet,House,399000€,4,174,290,1,,,,,1,290,,,Good,1938,D
Forest,House,599000€,3,260,,0,,,1,,,,2,,Good,1760,G
Wellin,Country-cottage,230000€,2,100,2510,,,,,,1,1900,4,,To renovate,1850,G
Wavre,House,520000€,4,192,255,0,0,,1,20,1,255,3,0,As new,2018,B
Anderlecht,Apartment-block,469000€,5,185,,0,0,,1,,,,2,0,To be done up,1930,C
Nivelles,Apartment-block,1200000€,8,305,263,0,,,1,72,1,28,3,,As new,2001,B
Antwerpen,Mixed-use-building,650000€,4,310,113,,0,,,,,,2,0,Just renovated,,D
Antwerpen,House,835000€,6,286,125,,,,1,,1,24,2,,Good,1901,B
Vlezenbeek,House,549000€,3,225,580,0,,,1,,,,4,,Good,1968,B
Jette,House,525000€,3,151,248,0,,,1,20,1,90,2,,Good,1998,D
Roeselare,House,200000€,4,105,199,,,,,,,,2,,As new,1958,D
Gozee,House,259000€,5,171,700,,,,,,1,553,3,,Good,,E
Bornem-mariekerke,House,595000€,5,200,1760,0,,,1,,,,4,,,1977,C
Geraardsbergen,Villa,795000€,4,400,1492,1,,,1,,,,4,,Good,1995,B
Fosses-la-ville,House,245000€,3,122,880,,,,,,1,810,4,,,2010,Not specified
Aalst,House,138500€,1,69,60,,,,,,,,,,To be done up,,F
Modave,House,645000€,4,220,4385,1,,1,1,100,1,3500,3,,As new,1871,D
Maasmechelen,House,595000€,4,260,819,,,,,,,,4,,As new,1992,C
Aartrijke,House,255000€,4,200,374,,,,1,,,,3,,Good,1967,F
Frasnes-lez-gosselies,House,399000€,3,178,666,0,,,1,18,1,666,3,,As new,2022,A++
Turnhout,Mixed-use-building,475000€,3,237,197,,0,,1,,,,3,0,Good,1937,C
Zottegem,House,520000€,4,205,366,0,0,,1,23,1,65,3,0,Good,2024,A
Bruxelles-ville,Mansion,2400000€,3,748,100,0,0,,,,,,2,0,As new,,C
Mettet,Villa,345000€,4,393,1680,1,0,,1,40,1,1020,4,0,,,B
Knokke-heist,Villa,2195000€,5,210,344,0,,,1,,1,250,3,,As new,2000,C
Bilzen,Farmhouse,495000€,5,216,4116,,,,,,,,,,,1874,F
Beringen,Apartment-block,169000€,1,92,116,0,0,,,,,,3,0,Good,1964,F
Celles,Exceptional-property,599000€,3,400,2049,0,,1,,,,,4,,As new,,C
Ronse,House,339000€,3,200,920,1,,1,1,,,,,,Good,,B
Zaventem,House,456000€,3,120,200,0,0,,1,7,1,90,2,0,Good,1930,D
Marche-en-famenne,House,229000€,3,189,283,0,0,,1,27,,,3,0,Good,1938,F
Overijse,House,595000€,4,157,670,1,0,,1,21,1,50,3,0,Good,1969,C
Schilde,Villa,1690000€,4,448,3827,,,,,,,,4,,Good,1980,C
Sint-andries,Villa,640000€,4,198,423,0,,,,,,,,,As new,2006,C
Alken,House,347000€,4,186,1661,,,,,,1,1487,4,,To renovate,1971,D
Fleurus,Mixed-use-building,349000€,3,400,,0,,,1,22,1,12,3,,To be done up,1900,C
Charleroi-marchienne-au-pont,House,225000€,5,,,0,0,,1,,,,3,0,Good,1959,E
Hasselt,House,470000€,2,115,,,,,1,29,1,23,,,,,Not specified
Bertogne,House,825000€,2,393,4237,0,,1,1,32,1,4000,4,,As new,2010,B
Brugge,House,199000€,4,144,224,,,,,,,,2,,To renovate,,F
Courcelles,Mixed-use-building,230000€,3,156,533,,0,,,,,,2,0,,,F
Nivelles,House,275000€,3,145,61,,0,,,,,,2,0,,,E
Schaerbeek,House,525000€,4,193,166,0,0,,1,,1,80,2,0,To be done up,1880,G
Gent,House,399000€,2,250,196,1,,,1,20,,,3,,Good,1930,D
Kruibeke-bazel,House,450000€,4,185,739,0,0,,1,20,1,300,4,0,Good,1965,D
Tienen,House,210000€,3,127,407,,,,,,1,263,3,,To renovate,1960,F
Sint-pieters-leeuw,House,415000€,4,153,268,0,,,,,,,2,,Good,1978,C
Hoogstraten,House,498000€,4,238,280,0,0,,1,,,,3,0,As new,2006,B
Meerhout,House,301000€,3,132,162,1,,,1,15,,,2,,,2022,Not specified
Namur,Apartment-block,375000€,4,270,205,,,,1,40,,,2,,To be done up,1875,C
Ninove,House,319000€,3,136,1650,,,,,,,,4,,To renovate,,F
Brakel,House,398000€,4,160,361,,,,,,,,,,Good,2015,B
Knokke-heist,House,2175000€,4,250,,1,0,,1,,,,3,0,Good,2001,B
Angleur,House,199000€,4,172,1155,0,,,1,48,1,1035,3,,To renovate,,F
Etterbeek,House,795000€,5,320,216,0,0,,1,20,1,80,2,0,To renovate,1920,F
Tongeren,House,320000€,3,148,502,,,,,,,,4,,,,Not specified
Bourlers,House,250000€,4,205,1270,,,,1,35,1,1067,4,,Good,,D
Uccle,House,950000€,4,185,,,0,1,1,,,,3,0,Good,,C
Liedekerke,Villa,895000€,5,448,1051,1,,,1,,1,730,4,,Good,1983,B
